experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
A,prequal,4.00,8,4.0000,0.000,0.000,0.000,0.000,0.000,115938,115938,2026-06-13T21:51:54Z
A,prequal,2.83,8,2.8284,0.000,0.000,0.000,0.000,0.000,118434,118434,2026-06-13T21:52:40Z
A,prequal,2.00,8,2.0000,0.000,0.000,0.000,0.000,0.000,118388,118388,2026-06-13T21:53:25Z
A,prequal,1.41,8,1.4142,0.000,0.000,0.000,0.000,0.000,118693,118693,2026-06-13T21:54:11Z
A,prequal,1.00,8,1.0000,0.000,0.000,0.000,0.000,0.000,118509,118509,2026-06-13T21:54:56Z
A,prequal,0.71,8,0.7071,0.000,0.000,0.000,0.000,0.000,118233,118233,2026-06-13T21:55:42Z
A,prequal,0.50,8,0.5000,0.000,0.000,0.000,0.000,0.000,118604,118604,2026-06-13T21:56:27Z
A,roundrobin,4.00,8,4.0000,0.000,0.000,0.000,0.000,0.000,116439,116439,2026-06-13T21:57:12Z
A,roundrobin,2.83,8,2.8284,0.000,0.000,0.000,0.000,0.000,118107,118107,2026-06-13T21:57:58Z
A,roundrobin,2.00,8,2.0000,0.000,0.000,0.000,0.000,0.000,118559,118559,2026-06-13T21:58:43Z
A,roundrobin,1.41,8,1.4142,0.000,0.000,0.000,0.000,0.000,118275,118275,2026-06-13T21:59:29Z
A,roundrobin,1.00,8,1.0000,0.000,0.000,0.000,0.000,0.000,118283,118283,2026-06-13T22:00:14Z
A,roundrobin,0.71,8,0.7071,0.000,0.000,0.000,0.000,0.000,118359,118359,2026-06-13T22:00:59Z
A,roundrobin,0.50,8,0.5000,0.000,0.000,0.000,0.000,0.000,117951,117951,2026-06-13T22:01:45Z
A,prequal,4.00,8,4.0000,0.000,0.000,0.000,0.000,0.000,113770,113770,2026-06-13T22:10:39Z
A,prequal,2.83,8,2.8284,0.000,0.000,0.000,0.000,0.000,115837,115837,2026-06-13T22:11:24Z
A,prequal,2.00,8,2.0000,0.000,0.000,0.000,0.000,0.000,116243,116243,2026-06-13T22:12:10Z
A,prequal,1.41,8,1.4142,0.000,0.000,0.000,0.000,0.000,116137,116137,2026-06-13T22:12:55Z
A,prequal,1.00,8,1.0000,0.000,0.000,0.000,0.000,0.000,115941,115941,2026-06-13T22:13:41Z
A,prequal,0.71,8,0.7071,0.000,0.000,0.000,0.000,0.000,116369,116369,2026-06-13T22:14:26Z
A,prequal,4.00,8,4.0000,32.756,59.559,1.029,1.641,3.822,115331,0,2026-06-13T22:28:08Z
A,prequal,2.83,8,2.8284,31.044,58.602,1.030,1.640,3.815,115001,0,2026-06-13T22:28:54Z
A,prequal,2.00,8,2.0000,31.550,59.665,1.027,1.636,3.808,114663,0,2026-06-13T22:29:39Z
A,prequal,1.41,8,1.4142,30.858,59.521,1.026,1.635,3.806,115364,0,2026-06-13T22:30:25Z
A,prequal,1.00,8,1.0000,33.408,62.282,1.027,1.635,3.806,114788,0,2026-06-13T22:31:10Z
A,prequal,0.71,8,0.7071,32.866,60.280,1.026,1.635,3.805,113481,0,2026-06-13T22:31:56Z
A,prequal,0.50,8,0.5000,30.852,60.307,1.024,1.633,3.804,115019,0,2026-06-13T22:32:41Z
A,roundrobin,4.00,8,4.0000,58.945,83.029,1.000,1.000,2.615,113718,0,2026-06-13T22:33:27Z
A,prequal,4.00,8,4.0000,31.447,63.955,1.024,1.633,3.803,114411,0,2026-06-13T22:36:03Z
A,prequal,2.83,8,2.8284,32.309,61.949,1.024,1.633,3.803,113982,0,2026-06-13T22:36:48Z
A,prequal,2.00,8,2.0000,31.235,59.200,1.024,1.633,3.803,114879,0,2026-06-13T22:37:34Z
A,prequal,1.41,8,1.4142,31.739,59.129,1.024,1.633,3.803,113887,0,2026-06-13T22:38:19Z
A,prequal,1.00,8,1.0000,31.786,61.554,1.024,1.633,3.803,113881,0,2026-06-13T22:39:05Z
A,prequal,0.71,8,0.7071,29.601,54.334,1.024,1.633,3.803,114526,0,2026-06-13T22:39:50Z
A,prequal,0.50,8,0.5000,32.723,60.587,1.024,1.633,3.802,115423,0,2026-06-13T22:40:36Z
A,roundrobin,4.00,8,4.0000,59.213,83.909,1.000,1.000,2.535,114591,0,2026-06-13T22:41:21Z
A,roundrobin,2.83,8,2.8284,57.585,84.144,1.000,1.000,2.561,114910,0,2026-06-13T22:42:07Z
A,roundrobin,2.00,8,2.0000,57.052,82.877,1.000,1.000,2.540,114543,0,2026-06-13T22:42:52Z
A,roundrobin,1.41,8,1.4142,56.553,82.143,1.000,1.000,2.483,114326,0,2026-06-13T22:43:38Z
A,roundrobin,1.00,8,1.0000,57.637,84.470,1.000,1.000,2.498,114387,0,2026-06-13T22:44:23Z
A,roundrobin,0.71,8,0.7071,58.047,84.960,1.000,1.000,2.479,114100,0,2026-06-13T22:45:09Z
A,roundrobin,0.50,8,0.5000,57.295,84.938,1.000,1.000,2.472,115685,0,2026-06-13T22:45:54Z
B,prequal,1,1,3.0000,33.102,62.553,1.023,1.633,3.802,114646,0,2026-06-13T22:50:32Z
B,prequal,2,2,3.0000,31.831,63.741,1.023,1.632,3.802,114743,0,2026-06-13T22:51:18Z
B,prequal,4,4,3.0000,30.990,54.889,1.023,1.632,3.802,115127,0,2026-06-13T22:52:03Z
B,prequal,1,1,3.0000,33.632,63.083,1.031,1.639,3.824,115176,0,2026-06-13T22:55:39Z
B,prequal,2,2,3.0000,31.180,57.405,1.028,1.637,3.814,115480,0,2026-06-13T22:56:25Z
B,prequal,4,4,3.0000,32.074,62.167,1.029,1.637,3.811,115419,0,2026-06-13T22:57:10Z
B,prequal,8,8,3.0000,32.395,61.572,1.028,1.636,3.809,115324,0,2026-06-13T22:57:56Z
B,prequal,16,16,3.0000,31.133,58.791,1.028,1.636,3.808,114427,0,2026-06-13T22:58:41Z
B,prequal,24,24,3.0000,30.704,58.022,1.026,1.635,3.807,114302,0,2026-06-13T22:59:27Z
B,prequal,32,32,3.0000,31.798,58.101,1.027,1.635,3.807,114936,0,2026-06-13T23:00:12Z
B,roundrobin,1,1,3.0000,57.994,84.366,1.000,1.000,2.522,116189,0,2026-06-13T23:00:58Z
B,roundrobin,2,2,3.0000,57.397,84.133,1.000,1.000,2.481,115236,0,2026-06-13T23:01:43Z
B,roundrobin,4,4,3.0000,52.779,81.596,1.000,1.000,2.322,115230,0,2026-06-13T23:02:28Z
B,roundrobin,8,8,3.0000,53.151,79.669,1.000,1.000,2.274,115523,0,2026-06-13T23:03:14Z
