experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
A,prequal,4.00,8,4.0000,1322.893,1927.165,2.771,7.977,+Inf,23849,0,2026-06-13T15:57:41Z
A,prequal,2.83,8,2.8284,794.336,1066.336,2.486,5.705,55.859,27131,0,2026-06-13T15:59:35Z
A,prequal,2.00,8,2.0000,729.454,1068.637,2.498,5.117,31.533,26731,0,2026-06-13T16:01:32Z
A,prequal,1.41,8,1.4142,670.862,1039.591,2.610,4.698,37.193,28536,305,2026-06-13T16:03:24Z
A,prequal,1.00,8,1.0000,623.524,990.562,2.727,4.707,23.102,28526,294,2026-06-13T16:05:16Z
A,prequal,0.71,8,0.7071,775.005,1281.725,3.070,5.602,52.780,28822,588,2026-06-13T16:07:09Z
A,prequal,0.50,8,0.5000,558.601,929.130,3.468,6.049,18.886,29684,1453,2026-06-13T16:09:04Z
A,roundrobin,4.00,8,4.0000,798.107,1093.349,1.381,2.500,7.734,27505,0,2026-06-13T16:10:55Z
A,roundrobin,2.83,8,2.8284,793.878,1121.664,1.395,2.298,7.325,28588,355,2026-06-13T16:12:44Z
A,roundrobin,2.00,8,2.0000,837.542,1297.434,1.506,2.682,7.701,28706,475,2026-06-13T16:14:34Z
A,roundrobin,1.41,8,1.4142,738.930,1082.487,1.550,2.726,7.749,29357,1126,2026-06-13T16:16:23Z
A,roundrobin,1.00,8,1.0000,854.112,1193.597,1.571,2.829,7.880,29033,799,2026-06-13T16:18:10Z
A,roundrobin,0.71,8,0.7071,784.907,1071.486,1.632,2.975,9.377,29640,1409,2026-06-13T16:19:56Z
A,roundrobin,0.50,8,0.5000,781.500,1127.833,1.580,2.765,7.796,29309,1078,2026-06-13T16:21:42Z
