experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
A,prequal,4.00,8,4.0000,359.511,607.852,6.577,8.288,11.868,14483,0,2026-06-11T20:18:24Z
A,prequal,2.83,8,2.8284,328.102,557.461,6.475,7.938,11.832,14640,0,2026-06-11T20:19:19Z
A,prequal,2.00,8,2.0000,355.839,641.510,6.599,8.436,11.864,14630,0,2026-06-11T20:20:17Z
A,prequal,1.41,8,1.4142,298.818,532.367,6.522,8.262,11.876,14760,0,2026-06-11T20:21:14Z
A,prequal,1.00,8,1.0000,366.290,687.770,7.128,9.469,12.575,14728,0,2026-06-11T20:22:10Z
A,prequal,0.71,8,0.7071,382.063,746.153,7.653,9.879,12.277,14761,0,2026-06-11T20:23:04Z
A,prequal,0.50,8,0.5000,474.712,844.221,8.763,10.672,15.606,14798,0,2026-06-11T20:24:03Z
A,roundrobin,4.00,8,4.0000,4787.230,4957.074,6.659,13.622,+Inf,14433,272,2026-06-11T20:25:01Z
A,roundrobin,2.83,8,2.8284,2595.513,3091.203,5.412,7.245,+Inf,14367,0,2026-06-11T20:25:57Z
A,roundrobin,2.00,8,2.0000,3011.394,4037.198,6.374,10.074,+Inf,14336,0,2026-06-11T20:26:52Z
A,roundrobin,1.41,8,1.4142,4475.974,4895.892,5.468,7.328,+Inf,14429,11,2026-06-11T20:27:53Z
A,roundrobin,1.00,8,1.0000,2928.899,3391.418,5.469,7.470,+Inf,14597,0,2026-06-11T20:28:48Z
A,roundrobin,0.71,8,0.7071,4781.422,4981.390,6.362,24.687,+Inf,14342,195,2026-06-11T20:29:44Z
A,roundrobin,0.50,8,0.5000,4636.716,4953.093,5.546,7.368,+Inf,14581,83,2026-06-11T20:30:41Z
