experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
A,prequal,4.00,8,4.0000,552.149,1004.014,3.175,5.295,17.107,26532,0,2026-06-13T16:24:47Z
A,prequal,2.83,8,2.8284,570.723,1065.856,3.185,5.231,20.948,26548,0,2026-06-13T16:26:08Z
A,prequal,2.00,8,2.0000,438.892,667.031,3.162,5.131,19.859,26576,0,2026-06-13T16:27:23Z
A,prequal,1.41,8,1.4142,502.270,838.269,3.399,5.517,10.366,26120,0,2026-06-13T16:28:46Z
A,prequal,1.00,8,1.0000,592.809,1044.670,3.852,6.130,27.390,28592,361,2026-06-13T16:30:04Z
A,prequal,0.71,8,0.7071,657.089,1031.545,3.603,5.917,13.955,23661,0,2026-06-13T16:31:21Z
A,prequal,0.50,8,0.5000,483.889,860.547,4.473,6.594,11.887,28615,384,2026-06-13T16:32:45Z
A,roundrobin,4.00,8,4.0000,688.457,1025.737,2.364,3.594,10.469,27564,0,2026-06-13T16:34:00Z
A,roundrobin,2.83,8,2.8284,701.891,1031.752,2.175,3.451,10.135,25723,0,2026-06-13T16:35:15Z
A,roundrobin,2.00,8,2.0000,742.575,1046.650,2.437,3.771,14.446,26950,0,2026-06-13T16:36:33Z
A,roundrobin,1.41,8,1.4142,826.515,1197.760,2.569,3.894,19.522,27607,0,2026-06-13T16:37:54Z
A,roundrobin,1.00,8,1.0000,839.882,1155.459,2.707,4.097,17.174,27906,0,2026-06-13T16:39:13Z
A,roundrobin,0.71,8,0.7071,753.864,1115.663,2.652,3.883,14.831,28451,220,2026-06-13T16:40:31Z
A,roundrobin,0.50,8,0.5000,718.436,1045.308,2.601,3.854,14.507,28623,392,2026-06-13T16:41:49Z
