experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
B,prequal,1,1,3.0000,0.000,0.000,0.000,0.000,0.000,92420,92420,2026-06-16T14:19:20Z
B,prequal,2,2,3.0000,0.000,0.000,0.000,0.000,0.000,92235,92235,2026-06-16T14:20:05Z
B,prequal,4,4,3.0000,0.000,0.000,0.000,0.000,0.000,93620,93620,2026-06-16T14:20:51Z
B,prequal,8,8,3.0000,380.987,723.667,5.399,6.848,11.299,100055,36964,2026-06-16T14:21:36Z
B,prequal,16,16,3.0000,398.620,752.428,7.616,12.712,22.829,105247,0,2026-06-16T14:22:22Z
A,prequal,4.00,8,4.0000,397.527,745.156,8.339,13.100,22.914,103417,0,2026-06-16T14:22:40Z
B,prequal,24,24,3.0000,408.286,758.788,9.573,13.691,23.164,104240,0,2026-06-16T14:23:07Z
A,prequal,2.83,8,2.8284,371.647,654.355,9.659,13.658,23.125,104326,0,2026-06-16T14:23:25Z
B,prequal,32,32,3.0000,388.236,718.884,10.042,13.799,23.139,104658,0,2026-06-16T14:23:53Z
A,prequal,2.00,8,2.0000,392.533,756.501,10.115,13.825,23.137,103997,0,2026-06-16T14:24:11Z
B,prequal,40,40,3.0000,406.234,720.098,10.386,13.963,23.200,104567,0,2026-06-16T14:24:38Z
A,prequal,1.41,8,1.4142,416.620,736.795,10.441,13.991,23.206,104716,0,2026-06-16T14:24:56Z
B,prequal,48,48,3.0000,413.692,736.506,10.601,14.066,23.240,104180,0,2026-06-16T14:25:23Z
A,prequal,1.00,8,1.0000,371.389,674.794,10.315,13.939,23.202,106913,0,2026-06-16T14:25:41Z
B,roundrobin,1,1,3.0000,2357.661,4219.222,4.346,6.868,+Inf,108003,1,2026-06-16T14:26:09Z
A,prequal,0.71,8,0.7071,365.941,615.032,9.822,13.691,23.128,108420,0,2026-06-16T14:26:27Z
B,roundrobin,2,2,3.0000,2426.098,4213.941,4.439,6.934,+Inf,106418,1,2026-06-16T14:26:54Z
A,prequal,0.50,8,0.5000,384.824,711.039,9.442,13.470,23.063,107984,0,2026-06-16T14:27:12Z
B,roundrobin,4,4,3.0000,4816.855,4980.518,5.000,7.380,+Inf,83374,1775,2026-06-16T14:27:40Z
A,roundrobin,4.00,8,4.0000,4865.526,4987.040,5.403,7.722,+Inf,82394,2439,2026-06-16T14:27:58Z
B,roundrobin,8,8,3.0000,4877.042,4987.056,5.746,8.217,+Inf,81203,2753,2026-06-16T14:28:25Z
A,roundrobin,2.83,8,2.8284,4857.378,4981.081,5.918,9.104,+Inf,83117,1894,2026-06-16T14:28:43Z
B,roundrobin,16,16,3.0000,4907.555,4988.969,6.059,9.696,+Inf,80231,2926,2026-06-16T14:29:11Z
A,roundrobin,2.00,8,2.0000,4833.228,4979.242,6.159,10.128,+Inf,85823,1232,2026-06-16T14:29:29Z
B,roundrobin,24,24,3.0000,4857.645,4983.442,6.233,10.372,+Inf,81834,2179,2026-06-16T14:29:56Z
A,roundrobin,1.41,8,1.4142,4826.416,4978.552,6.296,10.618,+Inf,85311,1191,2026-06-16T14:30:14Z
B,roundrobin,32,32,3.0000,4884.641,4987.579,6.326,10.649,+Inf,80276,3068,2026-06-16T14:30:42Z
A,roundrobin,1.00,8,1.0000,4890.411,4987.403,6.385,10.868,+Inf,82971,2437,2026-06-16T14:31:00Z
B,roundrobin,40,40,3.0000,4842.213,4983.558,6.402,10.868,+Inf,83491,1843,2026-06-16T14:31:27Z
A,roundrobin,0.71,8,0.7071,4725.453,4973.026,6.448,10.994,+Inf,88282,1354,2026-06-16T14:31:45Z
B,roundrobin,48,48,3.0000,4805.236,4984.651,6.461,11.000,+Inf,84091,1925,2026-06-16T14:32:12Z
A,roundrobin,0.50,8,0.5000,2944.999,3894.938,6.387,10.776,+Inf,103940,0,2026-06-16T14:32:30Z
