experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
A,prequal,4.00,16,4.0000,951.268,1848.777,2.708,3.582,7.701,31115,0,2026-06-16T19:10:09Z
A,prequal,2.83,16,2.8284,1212.784,2213.372,2.793,3.716,7.806,31045,1,2026-06-16T19:10:57Z
A,prequal,2.00,16,2.0000,1204.505,2267.352,2.900,3.903,7.985,31120,0,2026-06-16T19:11:46Z
A,prequal,1.41,16,1.4142,1574.741,3021.625,3.053,4.562,11.969,30927,9,2026-06-16T19:12:34Z
A,prequal,1.00,16,1.0000,2064.466,3467.688,3.243,5.449,18.480,30833,23,2026-06-16T19:13:23Z
A,prequal,0.71,16,0.7071,2645.891,3852.156,3.478,6.385,27.560,30547,161,2026-06-16T19:14:11Z
A,prequal,0.50,16,0.5000,3062.753,3933.016,3.726,7.301,35.803,30435,277,2026-06-16T19:15:00Z
A,roundrobin,4.00,16,4.0000,3592.859,3942.719,2.925,4.299,43.912,30819,383,2026-06-16T19:15:48Z
A,roundrobin,2.83,16,2.8284,3736.966,3971.133,2.896,3.999,44.603,30197,718,2026-06-16T19:16:37Z
A,roundrobin,2.00,16,2.0000,3779.978,3979.770,2.934,4.504,44.963,30462,791,2026-06-16T19:17:25Z
A,roundrobin,1.41,16,1.4142,3669.371,3961.514,2.914,4.264,44.852,30459,574,2026-06-16T19:18:13Z
A,roundrobin,1.00,16,1.0000,3757.303,3978.186,2.918,4.378,44.865,30432,561,2026-06-16T19:19:02Z
A,roundrobin,0.71,16,0.7071,3660.518,3951.772,2.914,4.334,44.719,30525,466,2026-06-16T19:19:50Z
A,roundrobin,0.50,16,0.5000,3760.551,3965.492,2.916,4.374,44.781,30502,632,2026-06-16T19:20:39Z
A,prequal,4.00,16,4.0000,1024.753,2066.499,2.712,3.571,7.699,31074,0,2026-06-16T20:40:00Z
A,prequal,2.83,16,2.8284,1044.649,2061.344,2.766,3.678,7.802,31090,0,2026-06-16T20:40:49Z
A,prequal,2.00,16,2.0000,1142.758,2104.129,2.861,3.834,7.920,31075,0,2026-06-16T20:41:37Z
A,prequal,1.41,16,1.4142,1502.765,2862.605,3.003,4.272,11.215,31061,8,2026-06-16T20:42:26Z
A,prequal,1.00,16,1.0000,1755.073,3080.571,3.199,5.283,18.080,30865,7,2026-06-16T20:43:14Z
A,prequal,0.71,16,0.7071,2649.398,3856.046,3.429,6.272,27.153,30638,147,2026-06-16T20:44:03Z
A,prequal,0.50,16,0.5000,3458.804,4059.327,3.686,7.275,40.219,30663,476,2026-06-16T20:44:51Z
A,roundrobin,4.00,16,4.0000,3578.139,3945.903,2.829,3.912,43.570,30440,400,2026-06-16T20:45:40Z
A,roundrobin,2.83,16,2.8284,3672.880,3975.014,2.871,3.962,44.064,30641,570,2026-06-16T20:46:28Z
A,roundrobin,2.00,16,2.0000,3655.990,3968.279,2.863,3.959,44.245,30709,493,2026-06-16T20:47:16Z
A,roundrobin,1.41,16,1.4142,3498.310,3933.931,2.851,3.936,43.838,30571,294,2026-06-16T20:48:05Z
A,roundrobin,1.00,16,1.0000,3570.787,3924.903,2.839,3.919,43.799,30491,461,2026-06-16T20:48:53Z
A,roundrobin,0.71,16,0.7071,3531.469,3935.178,2.838,3.920,43.678,30471,326,2026-06-16T20:49:42Z
A,roundrobin,0.50,16,0.5000,3742.231,3969.812,2.851,3.939,44.088,30415,817,2026-06-16T20:50:30Z
A,prequal,4.00,16,4.0000,1021.401,1934.329,2.694,3.572,7.695,31143,0,2026-06-16T20:52:04Z
A,prequal,2.83,16,2.8284,1150.966,2186.368,2.777,3.697,7.797,31200,0,2026-06-16T20:52:52Z
A,prequal,2.00,16,2.0000,1381.880,2362.459,2.900,3.894,7.967,31108,1,2026-06-16T20:53:40Z
A,prequal,1.41,16,1.4142,1490.141,2771.276,3.037,4.447,11.333,30965,4,2026-06-16T20:54:29Z
A,prequal,1.00,16,1.0000,1783.588,3274.214,3.224,5.359,18.572,30864,14,2026-06-16T20:55:17Z
A,prequal,0.71,16,0.7071,2608.073,3785.639,3.449,6.277,26.755,30554,113,2026-06-16T20:56:06Z
A,prequal,0.50,16,0.5000,3177.110,3943.509,3.699,7.220,38.845,30495,325,2026-06-16T20:56:54Z
A,roundrobin,4.00,16,4.0000,3677.155,3976.603,2.888,3.988,44.657,30544,591,2026-06-16T20:57:43Z
A,roundrobin,2.83,16,2.8284,3543.209,3952.317,2.871,3.968,44.041,30661,351,2026-06-16T20:58:31Z
A,roundrobin,2.00,16,2.0000,3736.961,3969.347,2.903,4.071,44.497,30376,714,2026-06-16T20:59:19Z
A,roundrobin,1.41,16,1.4142,3607.649,3935.126,2.897,4.045,44.335,30525,452,2026-06-16T21:00:08Z
A,roundrobin,1.00,16,1.0000,3682.558,3962.411,2.897,4.058,44.414,30421,614,2026-06-16T21:00:56Z
A,roundrobin,0.71,16,0.7071,3690.944,3959.817,2.899,4.062,44.496,30434,651,2026-06-16T21:01:45Z
A,roundrobin,0.50,16,0.5000,3686.990,3971.126,2.904,4.157,44.526,30487,601,2026-06-16T21:02:33Z
