experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
B,prequal,1,1,3.0000,1897.795,3025.537,3.937,13.250,+Inf,27373,0,2026-06-12T20:03:36Z
B,prequal,2,2,3.0000,864.714,1314.699,2.594,6.984,+Inf,26850,0,2026-06-12T20:06:05Z
B,prequal,4,4,3.0000,843.826,1274.084,3.533,10.705,+Inf,27211,0,2026-06-12T20:08:33Z
B,prequal,8,8,3.0000,720.960,1121.675,2.914,7.213,55.157,26935,0,2026-06-12T20:11:00Z
B,prequal,16,16,3.0000,680.097,1382.341,2.965,6.343,42.809,28138,0,2026-06-12T20:13:27Z
B,prequal,24,24,3.0000,506.250,851.563,3.109,6.387,28.137,28327,95,2026-06-12T20:15:51Z
B,prequal,32,32,3.0000,567.137,946.554,3.126,6.346,30.501,28444,213,2026-06-12T20:18:22Z
B,roundrobin,1,1,3.0000,798.799,1108.639,1.456,2.451,7.364,28359,135,2026-06-12T20:20:45Z
B,roundrobin,2,2,3.0000,805.040,1134.976,1.531,2.739,7.753,28275,44,2026-06-12T20:23:06Z
B,roundrobin,4,4,3.0000,792.536,1098.760,1.498,2.632,7.658,28509,278,2026-06-12T20:25:26Z
B,roundrobin,8,8,3.0000,720.635,1040.459,1.444,2.380,7.289,28393,162,2026-06-12T20:27:48Z
B,roundrobin,16,16,3.0000,796.945,1060.494,1.448,2.486,7.521,28226,20,2026-06-12T20:30:05Z
B,roundrobin,24,24,3.0000,781.947,1060.610,1.580,2.759,7.693,29145,914,2026-06-12T20:32:21Z
B,roundrobin,32,32,3.0000,730.187,1054.426,1.514,2.664,7.755,28985,754,2026-06-12T20:34:37Z
