experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
B,prequal,1,1,4.0000,3753.438,3967.298,3.694,7.697,47.105,30499,799,2026-06-16T19:45:57Z
B,prequal,2,2,4.0000,1368.681,2120.780,3.158,5.563,44.374,31073,0,2026-06-16T19:46:46Z
B,prequal,4,4,4.0000,1233.299,2241.158,3.093,5.215,41.642,30990,0,2026-06-16T19:47:34Z
B,prequal,8,8,4.0000,1060.562,2026.277,2.972,4.578,38.917,30931,1,2026-06-16T19:48:22Z
B,prequal,16,16,4.0000,1153.654,2094.641,2.908,4.000,36.186,31082,0,2026-06-16T19:49:11Z
B,prequal,24,24,4.0000,1042.554,2149.972,2.877,3.898,33.448,31092,0,2026-06-16T19:49:59Z
B,prequal,32,32,4.0000,1056.714,2036.247,2.867,3.831,31.062,31069,0,2026-06-16T19:50:48Z
B,prequal,40,40,4.0000,1016.521,2001.409,2.864,3.776,29.061,31121,0,2026-06-16T19:51:36Z
B,prequal,48,48,4.0000,859.309,1745.232,2.866,3.741,27.060,31113,0,2026-06-16T19:52:25Z
B,roundrobin,1,1,4.0000,3711.043,3965.644,2.930,4.490,44.724,30638,656,2026-06-16T19:53:13Z
B,roundrobin,2,2,4.0000,3675.772,3970.956,2.923,4.418,44.509,30347,575,2026-06-16T19:54:01Z
B,roundrobin,4,4,4.0000,3660.672,3956.968,2.897,4.125,44.508,30323,561,2026-06-16T19:54:50Z
B,roundrobin,8,8,4.0000,3612.667,3949.158,2.882,3.989,44.394,30493,505,2026-06-16T19:55:38Z
B,roundrobin,16,16,4.0000,3686.967,3962.932,2.876,3.982,44.432,30371,644,2026-06-16T19:56:27Z
B,roundrobin,24,24,4.0000,3439.588,3921.868,2.858,3.953,44.150,30707,296,2026-06-16T19:57:15Z
B,roundrobin,32,32,4.0000,3539.076,3939.448,2.839,3.926,43.983,30527,307,2026-06-16T19:58:04Z
B,roundrobin,40,40,4.0000,3699.797,3966.087,2.855,3.950,44.173,30345,754,2026-06-16T19:58:52Z
B,roundrobin,48,48,4.0000,3649.394,3964.355,2.864,3.960,44.187,30637,555,2026-06-16T19:59:41Z
B,prequal,1,1,4.0000,3683.681,3962.757,3.581,7.022,47.953,30464,628,2026-06-16T20:04:57Z
B,prequal,2,2,4.0000,1382.002,2229.196,3.105,5.277,44.028,31040,0,2026-06-16T20:05:45Z
B,prequal,4,4,4.0000,1050.786,1921.332,3.020,4.912,40.113,31020,0,2026-06-16T20:06:34Z
B,prequal,8,8,4.0000,1220.951,2172.895,2.930,4.379,36.198,31020,1,2026-06-16T20:07:22Z
B,prequal,16,16,4.0000,1009.052,1989.066,2.868,3.959,32.274,31076,0,2026-06-16T20:08:10Z
B,prequal,24,24,4.0000,1021.041,1876.569,2.840,3.860,28.534,31014,0,2026-06-16T20:08:59Z
B,prequal,32,32,4.0000,1101.176,1997.722,2.839,3.802,24.790,31163,0,2026-06-16T20:09:47Z
B,prequal,40,40,4.0000,1023.797,2026.415,2.837,3.746,22.271,31011,0,2026-06-16T20:10:36Z
B,prequal,48,48,4.0000,967.703,1921.305,2.850,3.727,20.066,31159,0,2026-06-16T20:11:24Z
B,roundrobin,1,1,4.0000,3714.158,3966.277,2.889,3.997,44.997,30222,657,2026-06-16T20:12:13Z
B,roundrobin,2,2,4.0000,3530.585,3955.007,2.863,3.947,44.312,30541,410,2026-06-16T20:13:01Z
B,roundrobin,4,4,4.0000,3674.393,3963.531,2.856,3.944,44.383,30553,619,2026-06-16T20:13:50Z
B,roundrobin,8,8,4.0000,3639.106,3952.724,2.844,3.930,44.316,30448,516,2026-06-16T20:14:38Z
B,roundrobin,16,16,4.0000,3616.663,3949.703,2.844,3.935,44.250,30541,507,2026-06-16T20:15:26Z
B,roundrobin,24,24,4.0000,3713.891,3975.210,2.847,3.939,44.362,30608,592,2026-06-16T20:16:15Z
B,roundrobin,32,32,4.0000,3638.710,3968.321,2.849,3.942,44.341,30473,520,2026-06-16T20:17:03Z
B,roundrobin,40,40,4.0000,3627.960,3953.418,2.849,3.938,44.282,30494,533,2026-06-16T20:17:52Z
B,roundrobin,48,48,4.0000,3650.099,3959.800,2.861,3.955,44.282,30717,483,2026-06-16T20:18:40Z
B,prequal,1,1,4.0000,3724.850,3971.492,3.617,7.342,46.571,30515,735,2026-06-16T20:20:23Z
B,prequal,2,2,4.0000,1544.427,2551.762,3.175,5.540,43.531,30918,0,2026-06-16T20:21:11Z
B,prequal,4,4,4.0000,1093.583,2091.653,3.066,5.117,40.498,31031,1,2026-06-16T20:21:59Z
B,prequal,8,8,4.0000,967.712,1939.404,2.936,4.464,37.451,31049,0,2026-06-16T20:22:48Z
B,prequal,16,16,4.0000,1055.952,1994.638,2.881,3.977,34.403,31073,0,2026-06-16T20:23:36Z
B,prequal,24,24,4.0000,1061.231,2031.357,2.851,3.874,31.456,31105,0,2026-06-16T20:24:25Z
B,prequal,32,32,4.0000,1030.878,1965.525,2.850,3.817,28.884,31101,0,2026-06-16T20:25:13Z
B,prequal,40,40,4.0000,916.964,1685.636,2.847,3.760,26.312,31205,0,2026-06-16T20:26:02Z
B,prequal,48,48,4.0000,815.013,1690.186,2.850,3.727,23.836,31119,0,2026-06-16T20:26:50Z
B,roundrobin,1,1,4.0000,3684.127,3972.180,2.844,3.903,44.214,30447,525,2026-06-16T20:27:39Z
B,roundrobin,2,2,4.0000,3517.933,3923.513,2.839,3.908,43.485,30390,349,2026-06-16T20:28:27Z
B,roundrobin,4,4,4.0000,3631.365,3961.139,2.853,3.932,43.742,30558,512,2026-06-16T20:29:15Z
B,roundrobin,8,8,4.0000,3731.159,3968.981,2.858,3.946,44.148,30486,737,2026-06-16T20:30:04Z
B,roundrobin,16,16,4.0000,3670.292,3958.536,2.862,3.950,44.185,30315,619,2026-06-16T20:30:52Z
B,roundrobin,24,24,4.0000,3660.694,3953.985,2.868,3.963,44.267,30432,603,2026-06-16T20:31:41Z
B,roundrobin,32,32,4.0000,3633.221,3967.595,2.863,3.955,44.232,30469,536,2026-06-16T20:32:29Z
B,roundrobin,40,40,4.0000,3713.821,3964.863,2.874,3.968,44.297,30635,528,2026-06-16T20:33:18Z
B,roundrobin,48,48,4.0000,3592.927,3953.292,2.869,3.960,44.220,30552,435,2026-06-16T20:34:06Z
