experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
B,prequal,1,1,3.0000,1019.951,1608.174,4.101,7.886,61.739,22783,0,2026-06-12T19:02:48Z
B,prequal,2,2,3.0000,814.135,1113.177,2.918,5.756,30.914,19835,0,2026-06-12T19:04:38Z
B,prequal,4,4,3.0000,493.575,862.804,3.532,6.060,28.541,26023,0,2026-06-12T19:06:24Z
B,prequal,8,8,3.0000,459.980,825.116,3.265,5.344,12.411,25143,0,2026-06-12T19:08:07Z
B,prequal,16,16,3.0000,456.514,827.058,3.680,5.871,11.417,26455,0,2026-06-12T19:09:52Z
B,prequal,24,24,3.0000,455.348,829.136,4.491,6.420,12.498,25539,0,2026-06-12T19:11:38Z
B,prequal,32,32,3.0000,449.811,827.010,4.354,6.249,10.154,25135,0,2026-06-12T19:13:26Z
B,roundrobin,1,1,3.0000,692.532,996.117,2.186,3.472,10.444,21816,0,2026-06-12T19:15:16Z
B,roundrobin,2,2,3.0000,683.438,1020.691,2.444,3.638,11.080,27315,0,2026-06-12T19:17:01Z
B,roundrobin,4,4,3.0000,620.306,965.294,2.411,3.653,11.356,26472,0,2026-06-12T19:18:47Z
B,roundrobin,8,8,3.0000,814.387,1091.885,2.637,3.840,13.094,27150,0,2026-06-12T19:20:33Z
B,roundrobin,16,16,3.0000,700.016,1017.664,2.525,3.751,11.532,25845,0,2026-06-12T19:22:19Z
B,roundrobin,24,24,3.0000,788.113,1111.270,2.609,3.876,13.206,27230,0,2026-06-12T19:24:05Z
B,roundrobin,32,32,3.0000,761.478,1068.277,2.488,3.697,11.970,26747,0,2026-06-12T19:25:49Z
